Desc	Orthogroup	Arabidopsis_thaliana	Anthoceros_angustus	Amborella_trichopoda	Azolla_filiculoides	Ceratopteris_richardii	Selaginella_moellendorffii	Chara_braunii	Klebsormidium_flaccidum	Mesotaenium_endlicherianum	Oryza_sativa	Pinus_lambertiana	Marchantia_polymorpha	Populus_trichocarpa	Physcomitrella_patens	Sequoiadendron_giganteum	Spirogloea_muscicola	Salvinia_cucullata	Gnetum_montanum	Vitis_vinifera	Volvox_carteri	Zea_may
(null)	OG0005432	1	1	1	1	1	3	0	0	1	1	4	1	2	1	1	3	1	1	1	0	2
(null)	OG0005458	1	2	1	1	1	1	1	1	1	1	1	1	1	2	3	3	0	1	2	1	1
(null)	OG0005609	1	0	1	2	1	1	1	1	1	1	2	1	2	1	2	3	1	1	1	1	2
(null)	OG0005653	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	3	1	1	1	1	1
(null)	OG0005673	1	1	1	1	1	0	1	1	1	1	2	1	1	2	2	3	1	1	1	2	1
(null)	OG0005799	1	1	1	2	1	1	0	1	0	1	2	1	2	2	1	4	1	1	1	1	1
(null)	OG0005901	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	3	1	1	1	1	2
(null)	OG0005957	3	0	1	1	1	1	1	2	1	1	2	2	1	1	1	3	1	1	1	0	1
(null)	OG0005972	1	0	1	1	1	2	1	1	1	1	1	1	1	3	1	3	2	2	1	0	1
(null)	OG0006194	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	2
(null)	OG0006538	1	3	1	1	3	0	0	0	0	1	2	3	2	1	2	0	1	2	1	0	0
(null)	OG0006767	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1
(null)	OG0006890	1	1	1	1	1	1	2	0	1	1	0	1	2	2	1	3	1	1	1	1	0
(null)	OG0007302	1	1	1	1	1	1	1	0	0	1	1	1	2	1	1	4	1	1	1	0	1
(null)	OG0007414	1	1	1	1	1	1	1	1	1	2	0	1	2	1	0	3	0	1	2	0	1
(null)	OG0007760	1	0	1	1	1	1	1	1	0	1	1	2	1	1	2	0	1	1	1	2	1
(null)	OG0008337	2	1	1	1	1	1	1	0	0	1	0	1	1	1	1	3	0	0	1	0	1
(null)	OG0008930	1	0	0	1	2	0	1	1	0	0	2	1	1	1	1	0	1	1	1	0	1
(null)	OG0010089	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	OG0010407	1	0	1	0	1	0	0	0	0	1	0	0	2	0	1	0	1	0	1	0	2
(null)	OG0010928	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	OG0013678	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	OG0025131	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	OG0025268	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
